#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
学期	學期	xuéqī	n.	term; semester	book::L02 L02::dialogue vocab unit::Me_and_Family
选	選	xuǎn	v.	choose; pick; select	book::L02 L02::dialogue vocab unit::Me_and_Family
同学	同學	tóngxué	n.	classmate	book::L02 L02::dialogue vocab unit::Me_and_Family
碰	碰	pèng	v.	touch; bump into	book::L02 L02::dialogue vocab unit::Me_and_Family
开心	開心	kāixīn	adj.	happy	book::L02 L02::dialogue vocab unit::Me_and_Family
讲	講	jiǎng	v.	speak; be particular about	book::L02 L02::dialogue vocab unit::Me_and_Family
特点	特點	tèdiǎn	n.	characteristic; trait; feature	book::L02 L02::dialogue vocab unit::Me_and_Family
好笑	好笑	hǎoxiào	adj.	laughable; funny	book::L02 L02::dialogue vocab unit::Me_and_Family
亚洲	亞洲	yàzhōu	n.	Asia	book::L02 L02::dialogue vocab unit::Me_and_Family
筷子	筷子	kuàizi	n.	chopsticks	book::L02 L02::dialogue vocab unit::Me_and_Family
打	打	dǎ	v.	hit; break; fight; dial	book::L02 L02::dialogue vocab unit::Me_and_Family
鸡蛋	雞蛋	jīdàn	n.	egg	book::L02 L02::dialogue vocab unit::Me_and_Family
虽然	雖然	suīrán	conj.	although	book::L02 L02::dialogue vocab unit::Me_and_Family
移民	移民	yímín	v./n.	immigrate; immigrant	book::L02 L02::dialogue vocab unit::Me_and_Family
保留	保留	bǎoliú	v.	keep; retain	book::L02 L02::dialogue vocab unit::Me_and_Family
生活	生活	shēnghuó	n.	life	book::L02 L02::dialogue vocab unit::Me_and_Family
习惯	習慣	xíguàn	n./v.	habit; be used to	book::L02 L02::dialogue vocab unit::Me_and_Family
不管	不管	bùguǎn	conj.	no matter; regardless of	book::L02 L02::dialogue vocab unit::Me_and_Family
长大	長大	zhǎngdà	v.	grow up	book::L02 L02::dialogue vocab unit::Me_and_Family
混血儿	混血兒	hùnxuè'ér	n.	multiracial children	book::L02 L02::dialogue vocab unit::Me_and_Family
其实	其實	qíshí	adv.	actually; in fact	book::L02 L02::dialogue vocab unit::Me_and_Family
小时候	小時候	xiǎoshíhou	n.	in one's childhood	book::L02 L02::dialogue vocab unit::Me_and_Family
清楚	清楚	qīngchǔ	adj./v.	clear; distinct; understand thoroughly; be clear about	book::L02 L02::dialogue vocab unit::Me_and_Family
后来	後來	hòulái	adv.	later	book::L02 L02::dialogue vocab unit::Me_and_Family
拉	拉	lā	v.	pull	book::L02 L02::essay vocab unit::Me_and_Family
行李箱	行李箱	xínglixiāng	n.	luggage; baggage	book::L02 L02::essay vocab unit::Me_and_Family
机场	機場	jīchǎng	n.	airport	book::L02 L02::essay vocab unit::Me_and_Family
排队	排隊	páiduì	v.o.	stand in line	book::L02 L02::essay vocab unit::Me_and_Family
安检	安檢	ānjiǎn	n./v.	security check	book::L02 L02::essay vocab unit::Me_and_Family
赶紧	趕緊	gǎnjǐn	adv.	hurriedly	book::L02 L02::essay vocab unit::Me_and_Family
护照	護照	hùzhào	n.	passport	book::L02 L02::essay vocab unit::Me_and_Family
机票	機票	jīpiào	n.	plane ticket	book::L02 L02::essay vocab unit::Me_and_Family
人员	人員	rényuán	n.	personnel	book::L02 L02::essay vocab unit::Me_and_Family
打招呼	打招呼	dǎ zhāohu	v.o.	say hello	book::L02 L02::essay vocab unit::Me_and_Family
回复	回覆	huífù	v.	reply	book::L02 L02::essay vocab unit::Me_and_Family
以为	以為	yǐwéi	v.	think; believe; consider erroneously	book::L02 L02::essay vocab unit::Me_and_Family
告诉	告訴	gàosu	v.	tell; inform	book::L02 L02::essay vocab unit::Me_and_Family
问题	問題	wèntí	n.	question; problem	book::L02 L02::essay vocab unit::Me_and_Family
有点儿	有點兒	yǒudiǎnr	adv.	a little; somewhat; a bit	book::L02 L02::essay vocab unit::Me_and_Family
生气	生氣	shēngqì	v.o.	get angry	book::L02 L02::essay vocab unit::Me_and_Family
想要	想要	xiǎngyào	v.	intend; want	book::L02 L02::essay vocab unit::Me_and_Family
答案	答案	dá'àn	n.	answer	book::L02 L02::essay vocab unit::Me_and_Family
奇怪	奇怪	qíguài	adj.	strange	book::L02 L02::essay vocab unit::Me_and_Family
国内	國內	guónèi	n./adj.	interior of country; domestic	book::L02 L02::essay vocab unit::Me_and_Family
航班	航班	hángbān	n.	flight	book::L02 L02::essay vocab unit::Me_and_Family
算	算	suàn	v.	calculate; consider; count as	book::L02 L02::essay vocab unit::Me_and_Family
