#separator:tab
#html:false
#columns:Radical	Pinyin	Meaning	ExampleChars	Tags
#tags column:5
人 (亻)	rén	person	你 什 们 但 候 像 做	book::foundation radical
女	nǚ	female	她 妈 好 姓 奶	book::foundation radical
言 (讠)	yán	speech	说 语 话 课 谁	book::foundation radical
辶	chuò	go / walk	进 过 这 还 递	book::foundation radical
口	kǒu	mouth	吃 吗 啊 呀 叫 问 呢 句 名	book::foundation radical
日	rì	sun	早 晚 时	book::foundation radical
心 (忄)	xīn	heart	您 怎 意 思 想 忙	book::foundation radical
木	mù	tree / wood	样 极 林	book::foundation radical
糸 (纟)	mì	silk	累 给 维 经	book::foundation radical
水 (氵)	shuǐ	water	河 海 没	book::foundation radical
手 (扌)	shǒu	hand	把 打	book::foundation radical
刀 (刂)	dāo	knife	刚 到	book::foundation radical
艹	cǎo	grass	草 菜 英	book::foundation radical
犭	quǎn	dog	狗 猫	book::foundation radical
土	tǔ	earth / soil	地 坐	book::foundation radical
广	yǎn	shelter	庭 店	book::foundation radical
阝 (邑)	yì	city	都	book::foundation radical
囗	wéi	enclosure	国 囚 因	book::foundation radical
足	zú	foot	跟 跑	book::foundation radical
寸	cùn	inch	对	book::foundation radical
走	zǒu	walk	起	book::foundation radical
夕	xī	dusk / evening	多 外 岁	book::foundation radical
月	yuè	moon	朋 有	book::foundation radical
父	fù	father	爸 爷	book::foundation radical
竹 (⺮)	zhú	bamboo	筷 笑 第	book::foundation radical
