#separator:tab
#html:false
#columns:Pattern	Pinyin	Usage	ExampleZh	ExampleEn	Tags
#tags column:6
从 + place + 来/去/回	cóng ... lái/qù/huí	come/go/return from a place; 从 goes first and the verb comes at the end and cannot be omitted	她是从北京来的留学生。	She is an international student from Beijing.	book::L01 L01::dialogue grammar
Adj. 极了	... jíle	very much adj.; extremely adj.	她是从北京来的留学生，英文说得好极了。	She is an international student from Beijing, and she speaks English extremely well.	book::L01 L01::dialogue grammar
有没有	yǒuméiyǒu	a choice-type question that produces the effect of the English word "if"	她问我有没有中文名字。	She asked me if I had a Chinese name.	book::L01 L01::dialogue grammar
因为 …… 所以 ……	yīnwèi ... suǒyǐ ...	because ... therefore ...; used in both written and spoken Chinese to make logic clearer and more persuasive	因为爸爸妈妈是在纽约谈恋爱的，所以我们给你起了这个名字。	Because Mom and Dad fell in love in New York, we gave you this name.	book::L01 L01::dialogue grammar
得 (děi) + verb	děi	have to, need to; structure: (subject/time/location) + 得 + verb; 学会 = to master something (V + resultative complement)	狗狗得学会控制自己。	The doggie has to learn how to control itself.	book::L01 L01::dialogue grammar
在 …… 上花心思	zài ... shàng huā xīnsi	put thought or effort into ...; often used as "somebody 在 something 上花心思"	中国父母常常在每个名字上花很多心思。	Chinese parents often put a lot of thought into each name.	book::L01 L01::essay grammar
并 + 不/没 + (verb)	bìng + bù/méi + verb	emphasizes a negation, usually negating a previous statement or assumption	起个完美的名字并不容易。	It's not easy to have a perfect name.	book::L01 L01::essay grammar
根据 ……	gēnjù ...	base on; according to; can begin a sentence or be used as "somebody + 根据 + something + verb + noun"	根据2019年全国姓名报告，全中国有差不多三十万人叫张伟呢！	According to the 2019 national name report, there are almost 300,000 people in China named Zhang Wei!	book::L01 L01::essay grammar
verb + 起来	... qǐlái	used literally like "up", figuratively as a direction complement for a spontaneous action or state that has started, or with perception verbs (看/听/闻/摸) to express how the subject seems	Alex听起来像 "爱你克死"。	Alex sounds like "Àinǐkèsǐ".	book::L01 L01::essay grammar
虽然 …… 但是/可是 ……	suīrán … dànshì/kěshì …	although ... yet ...	虽然她移民来美国已经快二十五年了,但是还保留了很多中国人的生活习惯。	Although she has immigrated to the United States for almost 25 years, she still retains many Chinese habits.	book::L02 L02::dialogue grammar
Question pronouns as indefinite references (……就……)	… jiù …	whoever, whatever, whenever, etc.	中国人觉得爸爸是哪儿人,孩子就是哪儿人。	Chinese people think that wherever the father is from, the child is from.	book::L02 L02::dialogue grammar
是 …… 的	shì … de	structure to mark time, place, manner, or initiator of a known past action	我爸爸是从北京来的。	My father is from Beijing.	book::L02 L02::dialogue grammar
A 跟 B 一样 + verb/adj.	A gēn B yíyàng …	the same as ...	我小时候也跟你一样 (不清楚自己是哪儿人)。	I was just like you when I was a kid (not very clear about where I was from).	book::L02 L02::dialogue grammar
才 + verb	cái …	only then; not until	后来才想清楚我是中国人,也是美国人,我就是华裔美国人啊。	Not until later did I figure out that I am both Chinese and American. I am Chinese American.	book::L02 L02::dialogue grammar
V1着 …… + V2	V1 zhe … + V2	doing V1 and V2 at the same time; carrying out V2 in the manner of V1	我拉着行李箱在芝加哥机场排队过安检。	I am in line for the security check with my luggage at the Chicago airport.	book::L02 L02::essay grammar
把 + O + V + complement	bǎ + O + V + complement	do an action to a definite object, emphasizing the effect on it	我赶紧把护照和机票递给安检人员。	I quickly gave my passport and tickets to the security check personnel.	book::L02 L02::essay grammar
为了 + purpose	wèile …	in order to ...	为了快点儿过安检,我给了他他想要的答案。	In order to pass the security check quickly, I gave him the answer that he wanted.	book::L02 L02::essay grammar
someone V 的 Noun	someone V de Noun	relative clause structure (the Noun that someone V's)	我给了他他想要的答案。	I gave him the answer that he wanted.	book::L02 L02::essay grammar
在 someone 看来	zài someone kànlái	as far as someone is concerned; in someone's view	在他看来,谁可以算是 "美国人"?	In his view, who can be considered to be "American"?	book::L02 L02::essay grammar
以为	yǐwéi	to think something mistakenly	她是你妈妈? 我以为她是你姐姐呢!	Is she your mother? I thought she was your sister!	book::L02 L02::essay grammar
有(一)点 + adj.	yǒu(yī)diǎn + adj.	a bit adj. (implies something negative); in speech 一 is often dropped, leaving 有点, pronounced 有点儿 in northern China	爸爸的普通话和妈妈的有一点不一样。	My father's Mandarin is a little different from my mother's.	book::L03 L03::dialogue grammar
Verb + 得/不 + Verb	Verb + de/bù + Verb	can/cannot verb (potential complement); indicates whether or not an action is possible	我一句都听不懂。	I cannot understand even one sentence.	book::L03 L03::dialogue grammar
互相 + verb	hùxiāng + verb	verb back and forth, a reciprocal action; the verb should be at least two syllables	两个说不同方言的人常常互相听不懂。	Two people who speak different dialects often can't understand each other.	book::L03 L03::dialogue grammar
adj/stative verb + 得不得了	adj + de bùdéliǎo	extremely adj.; usually implies the situation is serious, but can also be positive (e.g. 高兴得不得了)	中国的方言多得不得了!	There are so many dialects in China!	book::L03 L03::dialogue grammar
adj + 地 + verb	adj + de + verb	turns an adjective into an adverb, like the English suffix '-ly'; a one-syllable adjective is repeated (e.g. 慢慢地)	我在里面听到妈妈大声地跟朋友说："你要死掉了。"	I was inside the room and heard my mother say loudly to her friends, "You are going to die."	book::L03 L03::dialogue grammar
更 + adj.	gèng + adj.	even more ...; adds '-er' to an adjective, and can be used with 比 (A 比 B + 更 + Adj.), adding the meaning of 'even more'	我们觉得用英文更清楚、更方便。	We find it even clearer and more convenient to use English.	book::L03 L03::essay grammar
一方面 …… 另一方面 ……	yī fāngmiàn ... lìng yī fāngmiàn ...	on the one hand, on the other hand; used to talk about various aspects of a situation, which can be similar or opposed; 又, 也, or 还 is sometimes added after 另一方面 for emphasis	一方面,当时外公家没有暖气,冷得不得了。另一方面,妈妈一家人在一起的时候都说上海话。	On the one hand, there was no heating at my grandpa's house, and it was terribly cold. On the other hand, my mother's family spoke Shanghainese when they were together.	book::L03 L03::essay grammar
一 + measure word + (noun) + 都/也 + 不/没 + verb	yī + mw + (noun) + dōu/yě + bù/méi + verb	not even one; indicates that someone did not do something at all	我一句都听不懂。	I cannot understand even one sentence.	book::L03 L03::essay grammar
Verb + 得 + adj.	Verb + de + adj.	how well an action is done; 得 + adj is a degree complement providing additional information of degree for the verb	妈妈的家人很关心我吃得好不好,玩得高兴不高兴。	My mother's family was very concerned about whether I ate well and whether I had fun or not.	book::L03 L03::essay grammar
Topic + comment	Topic + comment	a structure unique to Chinese; once the topic (usually a person or thing) is raised, the rest of the sentence comments on it; the topic operates on a discourse level beyond the confines of a single sentence	上海话我还是听不懂。	Shanghainese, I still cannot understand.	book::L03 L03::essay grammar
照……(的)说法	zhào . . . (de) shuōfǎ	according to someone's statement/ways of saying a thing	照官方说法,现在有十大方言。	According to the official statement, there are now ten regional varieties of Chinese.	book::L04 L04::dialogue grammar
无论 + question, 都/还……	wúlùn . . . dōu/hái . . .	no matter . . . (what follows 无论 should be a question, not a statement)	南方方言和北方方言,无论是发音、词汇还是语法都不一样。	No matter if it is pronunciation, vocabulary, or grammar, the language varieties in the southern regions and the northern regions are different.	book::L04 L04::dialogue grammar
根本(不/没有)	gēnběn (bù/méiyǒu)	not at all; absolutely not (cannot be followed by an affirmative statement)	如果他和妈妈两个人都用方言说话,就会像“鸡同鸭讲”,根本听不懂。	If he and his mother both spoke in language varieties, they would be like how 'a chicken talks to a duck', and they would not understand each other at all.	book::L04 L04::dialogue grammar
V了半天	V le bàntiān	to indicate that the action lasted for a long time, often followed by 也/都/还没有 + resultative verb	一个东北人听到后马上跳到河里帮她找,可是找了半天都没有找到孩子。	After hearing that, a northeasterner immediately jumped into the river to help her but still could not find the child after searching for a long time.	book::L04 L04::dialogue grammar
把……V成……	bǎ . . . V chéng . . .	(mistakenly) read/see/regard/call something as something else	四川人都把“鞋子”读成“孩子”。	Sichuan people pronounce 'xiezi' as 'haizi'.	book::L04 L04::dialogue grammar
那该多adj.啊	nà gāi duō adj. a	Then how adjective it would be	如果没有了方言,那该多无聊啊!	If there were no language varieties, then how boring it would be!	book::L04 L04::dialogue grammar
