#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
名字	名字	míngzi	n.	name	book::L01 L01::dialogue vocab unit::Me_and_Family
大学	大學	dàxué	n.	university	book::L01 L01::dialogue vocab unit::Me_and_Family
年级	年級	niánjí	n.	grade	book::L01 L01::dialogue vocab unit::Me_and_Family
刚	剛	gāng	adv.	just	book::L01 L01::dialogue vocab unit::Me_and_Family
搬	搬	bān	v.	move	book::L01 L01::dialogue vocab unit::Me_and_Family
学校	學校	xuéxiào	n.	school	book::L01 L01::dialogue vocab unit::Me_and_Family
宿舍	宿舍	sùshè	n.	dormitory	book::L01 L01::dialogue vocab unit::Me_and_Family
视频聊天	視頻聊天	shìpín liáotiān	v.	video chat/FaceTime	book::L01 L01::dialogue vocab unit::Me_and_Family
室友	室友	shìyǒu	n.	roommate	book::L01 L01::dialogue vocab unit::Me_and_Family
忙	忙	máng	adj.	busy	book::L01 L01::dialogue vocab unit::Me_and_Family
认识	認識	rènshi	v.	meet (a person); recognize	book::L01 L01::dialogue vocab unit::Me_and_Family
新	新	xīn	adj.	new	book::L01 L01::dialogue vocab unit::Me_and_Family
留学生	留學生	liúxuéshēng	n.	oversea student	book::L01 L01::dialogue vocab unit::Me_and_Family
谈恋爱	談戀愛	tán liàn’ài	v.o.	be in a relationship	book::L01 L01::dialogue vocab unit::Me_and_Family
起 (名字)	起 (名字)	qǐ	v.	to give (a name), interchangeable with 取 qǔ	book::L01 L01::dialogue vocab unit::Me_and_Family
故事	故事	gùshì	n.	story	book::L01 L01::dialogue vocab unit::Me_and_Family
句	句	jù	mw.	measure word for sentences	book::L01 L01::dialogue vocab unit::Me_and_Family
三十而立	三十而立	sānshí érlì	idm.	age when a man should stand on his own feet	book::L01 L01::dialogue vocab unit::Me_and_Family
岁	歲	suì	n.	years old; year (of age)	book::L01 L01::dialogue vocab unit::Me_and_Family
以前	以前	yǐqián	adv.	before	book::L01 L01::dialogue vocab unit::Me_and_Family
结婚	結婚	jiéhūn	v.o.	marry; get married	book::L01 L01::dialogue vocab unit::Me_and_Family
事业	事業	shìyè	n.	career; undertaking	book::L01 L01::dialogue vocab unit::Me_and_Family
家庭	家庭	jiātíng	n.	family	book::L01 L01::dialogue vocab unit::Me_and_Family
出生	出生	chūshēng	v.	be born	book::L01 L01::dialogue vocab unit::Me_and_Family
知道	知道	zhīdào	v.	know; become aware of	book::L01 L01::dialogue vocab unit::Me_and_Family
克制	克制	kèzhì	v.	restrain; control; self-control	book::L01 L01::dialogue vocab unit::Me_and_Family
喜欢	喜歡	xǐhuān	v.	like	book::L01 L01::essay vocab unit::Me_and_Family
特别	特別	tèbié	adj./adv.	special; particularly	book::L01 L01::essay vocab unit::Me_and_Family
花心思	花心思	huā xīnsi	v.o.	put thought/effort into	book::L01 L01::essay vocab unit::Me_and_Family
每	每	měi	pron.	every; each	book::L01 L01::essay vocab unit::Me_and_Family
一定的	一定的	yīdìng de	adj.	certain; particular	book::L01 L01::essay vocab unit::Me_and_Family
意义	意義	yìyì	n.	meaning	book::L01 L01::essay vocab unit::Me_and_Family
华裔	華裔	huáyì	n.	ethnic Chinese	book::L01 L01::essay vocab unit::Me_and_Family
希望	希望	xīwàng	v.	hope; wish	book::L01 L01::essay vocab unit::Me_and_Family
子女	子女	zǐnǚ	n.	children	book::L01 L01::essay vocab unit::Me_and_Family
继承	繼承	jìchéng	v.	inherit	book::L01 L01::essay vocab unit::Me_and_Family
传统	傳統	chuántǒng	adj./n.	traditional; tradition	book::L01 L01::essay vocab unit::Me_and_Family
文化	文化	wénhuà	n.	culture	book::L01 L01::essay vocab unit::Me_and_Family
长辈	長輩	zhǎngbèi	n.	elders	book::L01 L01::essay vocab unit::Me_and_Family
交流	交流	jiāoliú	v.	communicate	book::L01 L01::essay vocab unit::Me_and_Family
完美	完美	wánměi	adj.	perfect	book::L01 L01::essay vocab unit::Me_and_Family
容易	容易	róngyì	adj.	easy	book::L01 L01::essay vocab unit::Me_and_Family
简单	簡單	jiǎndān	adj.	simple	book::L01 L01::essay vocab unit::Me_and_Family
符号	符號	fúhào	n.	symbol	book::L01 L01::essay vocab unit::Me_and_Family
信息	信息	xìnxī	n.	information	book::L01 L01::essay vocab unit::Me_and_Family
根据	根據	gēnjù	prep.	according to	book::L01 L01::essay vocab unit::Me_and_Family
发音	發音	fāyīn	v.o./n.	pronounce; pronunciation	book::L01 L01::essay vocab unit::Me_and_Family
比如	比如	bǐrú	adv.	for example	book::L01 L01::essay vocab unit::Me_and_Family
听起来	聽起來	tīngqǐlái	v.	sound; 听(聽): listen to; obey; comply	book::L01 L01::essay vocab unit::Me_and_Family
年代	年代	niándài	n.	age; years; time; decades	book::L01 L01::essay vocab unit::Me_and_Family
男性	男性	nánxìng	n.	male	book::L01 L01::essay vocab unit::Me_and_Family
单名	單名	dānmíng	n.	one-character name	book::L01 L01::essay vocab unit::Me_and_Family
当时	當時	dāngshí	adv.	at that time	book::L01 L01::essay vocab unit::Me_and_Family
比较	比較	bǐjiào	adv./v.	relatively; compare	book::L01 L01::essay vocab unit::Me_and_Family
常见	常見	chángjiàn	adj.	common	book::L01 L01::essay vocab unit::Me_and_Family
报告	報告	bàogào	n.	report	book::L01 L01::essay vocab unit::Me_and_Family
全	全	quán	adv.	all	book::L01 L01::essay vocab unit::Me_and_Family
差不多	差不多	chàbùduō	adv.	about; roughly	book::L01 L01::essay vocab unit::Me_and_Family
万	萬	wàn	num.	ten thousand	book::L01 L01::essay vocab unit::Me_and_Family
学期	學期	xuéqī	n.	term; semester	book::L02 L02::dialogue vocab unit::Me_and_Family
选	選	xuǎn	v.	choose; pick; select	book::L02 L02::dialogue vocab unit::Me_and_Family
同学	同學	tóngxué	n.	classmate	book::L02 L02::dialogue vocab unit::Me_and_Family
碰	碰	pèng	v.	touch; bump into	book::L02 L02::dialogue vocab unit::Me_and_Family
开心	開心	kāixīn	adj.	happy	book::L02 L02::dialogue vocab unit::Me_and_Family
讲	講	jiǎng	v.	speak; be particular about	book::L02 L02::dialogue vocab unit::Me_and_Family
特点	特點	tèdiǎn	n.	characteristic; trait; feature	book::L02 L02::dialogue vocab unit::Me_and_Family
好笑	好笑	hǎoxiào	adj.	laughable; funny	book::L02 L02::dialogue vocab unit::Me_and_Family
亚洲	亞洲	yàzhōu	n.	Asia	book::L02 L02::dialogue vocab unit::Me_and_Family
筷子	筷子	kuàizi	n.	chopsticks	book::L02 L02::dialogue vocab unit::Me_and_Family
打	打	dǎ	v.	hit; break; fight; dial	book::L02 L02::dialogue vocab unit::Me_and_Family
鸡蛋	雞蛋	jīdàn	n.	egg	book::L02 L02::dialogue vocab unit::Me_and_Family
虽然	雖然	suīrán	conj.	although	book::L02 L02::dialogue vocab unit::Me_and_Family
移民	移民	yímín	v./n.	immigrate; immigrant	book::L02 L02::dialogue vocab unit::Me_and_Family
保留	保留	bǎoliú	v.	keep; retain	book::L02 L02::dialogue vocab unit::Me_and_Family
生活	生活	shēnghuó	n.	life	book::L02 L02::dialogue vocab unit::Me_and_Family
习惯	習慣	xíguàn	n./v.	habit; be used to	book::L02 L02::dialogue vocab unit::Me_and_Family
不管	不管	bùguǎn	conj.	no matter; regardless of	book::L02 L02::dialogue vocab unit::Me_and_Family
长大	長大	zhǎngdà	v.	grow up	book::L02 L02::dialogue vocab unit::Me_and_Family
混血儿	混血兒	hùnxuè'ér	n.	multiracial children	book::L02 L02::dialogue vocab unit::Me_and_Family
其实	其實	qíshí	adv.	actually; in fact	book::L02 L02::dialogue vocab unit::Me_and_Family
小时候	小時候	xiǎoshíhou	n.	in one's childhood	book::L02 L02::dialogue vocab unit::Me_and_Family
清楚	清楚	qīngchǔ	adj./v.	clear; distinct; understand thoroughly; be clear about	book::L02 L02::dialogue vocab unit::Me_and_Family
后来	後來	hòulái	adv.	later	book::L02 L02::dialogue vocab unit::Me_and_Family
拉	拉	lā	v.	pull	book::L02 L02::essay vocab unit::Me_and_Family
行李箱	行李箱	xínglixiāng	n.	luggage; baggage	book::L02 L02::essay vocab unit::Me_and_Family
机场	機場	jīchǎng	n.	airport	book::L02 L02::essay vocab unit::Me_and_Family
排队	排隊	páiduì	v.o.	stand in line	book::L02 L02::essay vocab unit::Me_and_Family
安检	安檢	ānjiǎn	n./v.	security check	book::L02 L02::essay vocab unit::Me_and_Family
赶紧	趕緊	gǎnjǐn	adv.	hurriedly	book::L02 L02::essay vocab unit::Me_and_Family
护照	護照	hùzhào	n.	passport	book::L02 L02::essay vocab unit::Me_and_Family
机票	機票	jīpiào	n.	plane ticket	book::L02 L02::essay vocab unit::Me_and_Family
人员	人員	rényuán	n.	personnel	book::L02 L02::essay vocab unit::Me_and_Family
打招呼	打招呼	dǎ zhāohu	v.o.	say hello	book::L02 L02::essay vocab unit::Me_and_Family
回复	回覆	huífù	v.	reply	book::L02 L02::essay vocab unit::Me_and_Family
以为	以為	yǐwéi	v.	think; believe; consider erroneously	book::L02 L02::essay vocab unit::Me_and_Family
告诉	告訴	gàosu	v.	tell; inform	book::L02 L02::essay vocab unit::Me_and_Family
问题	問題	wèntí	n.	question; problem	book::L02 L02::essay vocab unit::Me_and_Family
有点儿	有點兒	yǒudiǎnr	adv.	a little; somewhat; a bit	book::L02 L02::essay vocab unit::Me_and_Family
生气	生氣	shēngqì	v.o.	get angry	book::L02 L02::essay vocab unit::Me_and_Family
想要	想要	xiǎngyào	v.	intend; want	book::L02 L02::essay vocab unit::Me_and_Family
答案	答案	dá'àn	n.	answer	book::L02 L02::essay vocab unit::Me_and_Family
奇怪	奇怪	qíguài	adj.	strange	book::L02 L02::essay vocab unit::Me_and_Family
国内	國內	guónèi	n./adj.	interior of country; domestic	book::L02 L02::essay vocab unit::Me_and_Family
航班	航班	hángbān	n.	flight	book::L02 L02::essay vocab unit::Me_and_Family
算	算	suàn	v.	calculate; consider; count as	book::L02 L02::essay vocab unit::Me_and_Family
语言	語言	yǔyán	n.	language	book::L03 L03::dialogue vocab unit::Family_Language
普通话	普通話	pǔtōnghuà	n.	Putonghua; Mandarin	book::L03 L03::dialogue vocab unit::Family_Language
小姨	小姨	xiǎoyí	n.	mother's youngest sister	book::L03 L03::dialogue vocab unit::Family_Language
上海话	上海話	Shànghǎi huà	n.	Shanghai dialect	book::L03 L03::dialogue vocab unit::Family_Language
听到	聽到	tīngdào	v.	hear	book::L03 L03::dialogue vocab unit::Family_Language
懂	懂	dǒng	v.	understand; know	book::L03 L03::dialogue vocab unit::Family_Language
非常	非常	fēicháng	adv.	very	book::L03 L03::dialogue vocab unit::Family_Language
口音	口音	kǒuyīn	n.	accent	book::L03 L03::dialogue vocab unit::Family_Language
方言	方言	fāngyán	n.	regional varieties of Chinese	book::L03 L03::dialogue vocab unit::Family_Language
互相	互相	hùxiāng	adv.	each other; mutually; mutual	book::L03 L03::dialogue vocab unit::Family_Language
地方	地方	dìfāng	n.	local; locality	book::L03 L03::dialogue vocab unit::Family_Language
怪不得	怪不得	guàibùdé	adv.	no wonder; so that's why; that explains why	book::L03 L03::dialogue vocab unit::Family_Language
翘舌音	翹舌音	qiàoshéyīn	n.	retroflex; zh, chi, shi; some people say 卷舌音 juǎnshéyīn	book::L03 L03::dialogue vocab unit::Family_Language
掉	掉	diào	adv./v.	drop; fall; V+掉; indicates that the position moves or disappears	book::L03 L03::dialogue vocab unit::Family_Language
死掉	死掉	sǐ diào	v.	die; kick the bucket	book::L03 L03::dialogue vocab unit::Family_Language
糊里糊涂	糊里糊塗	húlihútú	adj.	the mind is in a vague state; muddle-headed	book::L03 L03::dialogue vocab unit::Family_Language
词	詞	cí	n.	word	book::L03 L03::dialogue vocab unit::Family_Language
钥匙	鑰匙	yàoshi	n.	key	book::L03 L03::dialogue vocab unit::Family_Language
原来	原來	yuánlái	adj./adv.	original; originally; 原来是这样 = I see	book::L03 L03::dialogue vocab unit::Family_Language
上海人	上海人	Shànghǎi rén	n.	Shanghainese; Shanghai people (proper name)	book::L03 L03::dialogue vocab unit::Family_Language
方便	方便	fāngbiàn	adj./v.	convenient; make something convenient	book::L03 L03::essay vocab unit::Family_Language
记得	記得	jìdé	v.	remember	book::L03 L03::essay vocab unit::Family_Language
冬天	冬天	dōngtiān	n.	winter	book::L03 L03::essay vocab unit::Family_Language
春节	春節	chūnjié	n.	Spring Festival	book::L03 L03::essay vocab unit::Family_Language
开始	開始	kāishǐ	v./n.	begin; beginning	book::L03 L03::essay vocab unit::Family_Language
外公	外公	wàigōng	n.	maternal grandfather	book::L03 L03::essay vocab unit::Family_Language
暖气	暖氣	nuǎnqì	n.	heating	book::L03 L03::essay vocab unit::Family_Language
指	指	zhǐ	v.	point	book::L03 L03::essay vocab unit::Family_Language
各	各	gè	pron.	each	book::L03 L03::essay vocab unit::Family_Language
种	種	zhǒng	mw.	type; kind	book::L03 L03::essay vocab unit::Family_Language
照顾	照顧	zhàogù	v.	take care of	book::L03 L03::essay vocab unit::Family_Language
关心	關心	guānxīn	v.	care for	book::L03 L03::essay vocab unit::Family_Language
教	教	jiāo	v.	teach	book::L03 L03::essay vocab unit::Family_Language
